country,subject,category,scope,matchgoer_subject_id(s),reconciliation_status,catalogue_status,reconciliation_note,editorial_label,short_explanation,discovery_value,lead_priority,evidence_url,evidence_season,editorial_status,evidence_note
England,Sheffield United — Sheffield Wednesday,SIGNIFICANT_RIVALRY,TEAM_PAIR,62;74,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Steel City Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Portsmouth — Southampton,SIGNIFICANT_RIVALRY,TEAM_PAIR,41;1355,READY,ACTIVE,Canonical pair resolved (exact; exact),South Coast Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Norwich City — Ipswich Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,57;71,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),East Anglian Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Bristol City — Bristol Rovers,SIGNIFICANT_RIVALRY,TEAM_PAIR,56;1334,READY,ACTIVE,Canonical pair resolved (exact; exact),Bristol Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Plymouth Argyle — Exeter City,SIGNIFICANT_RIVALRY,TEAM_PAIR,1357;1364,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Devon Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Oxford United — Swindon Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,1338;1353,READY,ACTIVE,Canonical pair resolved (exact; exact),A420 rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Blackpool — Preston North End,SIGNIFICANT_RIVALRY,TEAM_PAIR,59;1356,READY,ACTIVE,Canonical pair resolved (exact; exact),West Lancashire Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Chesterfield — Mansfield Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,1345;1374,READY,ACTIVE,Canonical pair resolved (exact; exact),Derbyshire/Nottinghamshire rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Wrexham — Chester,SIGNIFICANT_RIVALRY,TEAM_PAIR,1820;1837,READY,ACTIVE,Canonical pair resolved (exact; exact),Cross-border derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Leeds United — Manchester United,SIGNIFICANT_RIVALRY,TEAM_PAIR,33;63,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Historic rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Leeds United — Huddersfield Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,37;63,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),West Yorkshire derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Nottingham Forest — Derby County,SIGNIFICANT_RIVALRY,TEAM_PAIR,65;69,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),East Midlands Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Derby County — Leicester City,SIGNIFICANT_RIVALRY,TEAM_PAIR,46;69,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),East Midlands rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Coventry City — Leicester City,SIGNIFICANT_RIVALRY,TEAM_PAIR,46;1346,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),M69 Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Crystal Palace — Brighton & Hove Albion,SIGNIFICANT_RIVALRY,TEAM_PAIR,51;52,READY,ACTIVE,Canonical pair resolved (exact; exact),Historic rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Bolton Wanderers — Wigan Athletic,SIGNIFICANT_RIVALRY,TEAM_PAIR,61;68,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),Greater Manchester/Lancashire rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Cambridge United — Peterborough United,SIGNIFICANT_RIVALRY,TEAM_PAIR,1350;1370,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Cambridgeshire rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Southend United — Colchester United,SIGNIFICANT_RIVALRY,TEAM_PAIR,1341;1361,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),Essex derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Grimsby Town — Scunthorpe United,SIGNIFICANT_RIVALRY,TEAM_PAIR,1340;1365,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),Lincolnshire rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Notts County — Mansfield Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,1374;1376,READY,ACTIVE,Canonical pair resolved (exact; exact),Nottinghamshire derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Lincoln City — Grimsby Town,SIGNIFICANT_RIVALRY,TEAM_PAIR,1365;1379,READY,ACTIVE,Canonical pair resolved (deterministic alias; deterministic alias),Lincolnshire derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Oldham Athletic — Rochdale,SIGNIFICANT_RIVALRY,TEAM_PAIR,1339;1349,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Greater Manchester derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Carlisle United — Barrow,SIGNIFICANT_RIVALRY,TEAM_PAIR,1371;1819,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Cumbrian derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Port Vale — Stoke City,SIGNIFICANT_RIVALRY,TEAM_PAIR,75;1351,READY,ACTIVE,Canonical pair resolved (exact; exact),Potteries Derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Luton Town — Watford,SIGNIFICANT_RIVALRY,TEAM_PAIR,38;1359,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Beds-Herts rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Charlton Athletic — Millwall,SIGNIFICANT_RIVALRY,TEAM_PAIR,58;1335,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),South London derby,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,AFC Wimbledon — MK Dons,SIGNIFICANT_RIVALRY,TEAM_PAIR,1333;1348,READY,ACTIVE,Canonical pair resolved (exact; exact),Modern historic rivalry,A fixture with genuine rivalry context worth knowing before choosing the match.,Medium,NORMAL,,,APPROVED,
England,Hillsborough,CLASSIC_GROUND,VENUE,582,ALREADY_PUBLISHED,ALREADY_ACTIVE,Equivalent published DECIDE fact already exists,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Fratton Park,CLASSIC_GROUND,VENUE,573,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Loftus Road,CLASSIC_GROUND,VENUE,20414,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Villa Park,CLASSIC_GROUND,VENUE,495,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Craven Cottage,CLASSIC_GROUND,VENUE,535,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Deepdale,CLASSIC_GROUND,VENUE,574,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,The Valley,CLASSIC_GROUND,VENUE,518,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Valley Parade,CLASSIC_GROUND,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Venue is absent from current fixtures and aliases,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Kenilworth Road,CLASSIC_GROUND,VENUE,551,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Turf Moor,CLASSIC_GROUND,VENUE,512,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Elland Road,CLASSIC_GROUND,VENUE,546,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,City Ground,CLASSIC_GROUND,VENUE,566,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Ewood Park,CLASSIC_GROUND,VENUE,500,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Boundary Park,CLASSIC_GROUND,VENUE,568,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Brunton Park,CLASSIC_GROUND,VENUE,517,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Blundell Park,CLASSIC_GROUND,VENUE,538,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,The Hawthorns,CLASSIC_GROUND,VENUE,597,READY,ACTIVE,"Human-reviewed identity: West Brom team 60, CURRENT/HOME relationship and current fixtures resolve to venue 597/provider venue 597",Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Bramall Lane,CLASSIC_GROUND,VENUE,581,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Edgeley Park,CLASSIC_GROUND,VENUE,3535,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Field Mill,CLASSIC_GROUND,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Venue is absent from current fixtures and aliases,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Roots Hall,CLASSIC_GROUND,VENUE,586,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Brisbane Road,CLASSIC_GROUND,VENUE,18618,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Priestfield,CLASSIC_GROUND,VENUE,537,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Spotland,CLASSIC_GROUND,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Venue is absent from current fixtures and aliases,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Victoria Park,CLASSIC_GROUND,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Human-reviewed dormant: Hartlepool's Victoria Park is absent; Victory Park is a different ground,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Racecourse Ground,CLASSIC_GROUND,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Venue is absent from current fixtures and aliases,Classic ground,"A surviving traditional football experience with character, continuity and matchday identity.",Medium,NORMAL,,,APPROVED,
England,Wembley Stadium,FOOTBALL_LANDMARK,VENUE,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,Venue is absent from current fixtures and aliases,Football landmark,A ground with exceptional significance in English football history.,Low,NORMAL,,,APPROVED,
England,Old Trafford,FOOTBALL_LANDMARK,VENUE,556,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Low,NORMAL,,,APPROVED,
England,Anfield,FOOTBALL_LANDMARK,VENUE,550,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Low,NORMAL,,,APPROVED,
England,Villa Park,FOOTBALL_LANDMARK,VENUE,495,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Medium,NORMAL,,,APPROVED,
England,Bramall Lane,FOOTBALL_LANDMARK,VENUE,581,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Medium,NORMAL,,,APPROVED,
England,Deepdale,FOOTBALL_LANDMARK,VENUE,574,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Medium,NORMAL,,,APPROVED,
England,Hillsborough,FOOTBALL_LANDMARK,VENUE,582,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Medium,NORMAL,,,APPROVED,
England,Stamford Bridge,FOOTBALL_LANDMARK,VENUE,519,READY,ACTIVE,Canonical venue resolved (exact name/alias),Football landmark,A ground with exceptional significance in English football history.,Medium,NORMAL,,,APPROVED,
England,Craven Cottage,UNIQUE_SETTING,VENUE,535,READY,ACTIVE,Canonical venue resolved (exact name/alias),Thames-side setting,A distinctive riverside football setting on the Thames.,High,LEAD,,,APPROVED,
England,St James' Park,UNIQUE_SETTING,VENUE,562,READY,ACTIVE,Canonical venue resolved (exact name/alias),City-centre setting,A major football ground embedded prominently in central Newcastle.,High,NORMAL,,,APPROVED,
England,Kenilworth Road,UNIQUE_SETTING,VENUE,551,READY,ACTIVE,Canonical venue resolved (exact name/alias),Neighbourhood setting,An extraordinary football ground woven directly into its surrounding residential streets.,High,LEAD,,,APPROVED,
England,Boundary Park,UNIQUE_SETTING,VENUE,568,READY,ACTIVE,Canonical venue resolved (exact name/alias),Pennine setting,"An exposed, elevated football setting shaped by its Pennine location.",Medium,NORMAL,,,APPROVED,
Germany,Borussia Dortmund — Schalke 04,SIGNIFICANT_RIVALRY,TEAM_PAIR,165;174,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Revierderby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Hamburger SV — St Pauli,SIGNIFICANT_RIVALRY,TEAM_PAIR,175;186,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Hamburg Derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,1. FC Köln — Borussia Mönchengladbach,SIGNIFICANT_RIVALRY,TEAM_PAIR,163;192,READY,ACTIVE,Canonical pair resolved (exact; exact),Rheinland derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,1. FC Nürnberg — Greuther Fürth,SIGNIFICANT_RIVALRY,TEAM_PAIR,171;178,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Frankenderby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Bayern Munich — Borussia Dortmund,SIGNIFICANT_RIVALRY,TEAM_PAIR,157;165,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),German heavyweight rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Bayern Munich — Borussia Mönchengladbach,SIGNIFICANT_RIVALRY,TEAM_PAIR,157;163,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Historic Klassiker,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Hamburger SV — Werder Bremen,SIGNIFICANT_RIVALRY,TEAM_PAIR,162;175,READY,ACTIVE,Canonical pair resolved (exact; exact),Nordderby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Bayern Munich — 1860 Munich,SIGNIFICANT_RIVALRY,TEAM_PAIR,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,One or both teams are absent from current fixtures,Munich Derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Eintracht Frankfurt — Kickers Offenbach,SIGNIFICANT_RIVALRY,TEAM_PAIR,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,One or both teams are absent from current fixtures,Main derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Hannover 96 — Eintracht Braunschweig,SIGNIFICANT_RIVALRY,TEAM_PAIR,166;744,READY,ACTIVE,Canonical pair resolved (exact; exact),Lower Saxony derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Rot-Weiss Essen — MSV Duisburg,SIGNIFICANT_RIVALRY,TEAM_PAIR,187;1621,READY,ACTIVE,Canonical pair resolved (exact; exact),Revierderby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Dynamo Dresden — 1. FC Magdeburg,SIGNIFICANT_RIVALRY,TEAM_PAIR,179;183,READY,ACTIVE,Canonical pair resolved (exact; exact),East German rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,1. FC Saarbrücken — FC Homburg,SIGNIFICANT_RIVALRY,TEAM_PAIR,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,One or both teams are absent from current fixtures,Saar derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,1. FC Kaiserslautern — 1. FC Saarbrücken,SIGNIFICANT_RIVALRY,TEAM_PAIR,745;1639,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Southwest rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Karlsruher SC — VfB Stuttgart,SIGNIFICANT_RIVALRY,TEAM_PAIR,172;785,READY,ACTIVE,Canonical pair resolved (exact; exact),Baden-Württemberg rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Karlsruher SC — 1. FC Kaiserslautern,SIGNIFICANT_RIVALRY,TEAM_PAIR,745;785,READY,ACTIVE,Canonical pair resolved (exact; exact),Southwest rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Waldhof Mannheim — 1. FC Kaiserslautern,SIGNIFICANT_RIVALRY,TEAM_PAIR,745;4268,READY,ACTIVE,Canonical pair resolved (exact; exact),Southwest rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Waldhof Mannheim — Kickers Offenbach,SIGNIFICANT_RIVALRY,TEAM_PAIR,,NOT_IN_CURRENT_INVENTORY,DORMANT_NOT_IN_INVENTORY,One or both teams are absent from current fixtures,Regional rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Rot-Weiss Essen — Schalke 04,SIGNIFICANT_RIVALRY,TEAM_PAIR,174;1621,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),Ruhr rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Hansa Rostock — St Pauli,SIGNIFICANT_RIVALRY,TEAM_PAIR,186;1321,READY,ACTIVE,Canonical pair resolved (exact; deterministic alias),North German rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Dynamo Dresden — Lokomotive Leipzig,SIGNIFICANT_RIVALRY,TEAM_PAIR,183;9355,READY,ACTIVE,Canonical pair resolved (exact; exact),East German rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,1. FC Magdeburg — Hallescher FC,SIGNIFICANT_RIVALRY,TEAM_PAIR,179;1316,READY,ACTIVE,Canonical pair resolved (exact; exact),Saxony-Anhalt derby,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Bayern Munich — Hamburger SV,SIGNIFICANT_RIVALRY,TEAM_PAIR,157;175,READY,ACTIVE,Canonical pair resolved (deterministic alias; exact),Historic North-South rivalry,A genuine German rivalry fixture with additional matchgoing significance.,Medium,NORMAL,,,APPROVED,
Germany,Fritz-Walter-Stadion,CLASSIC_GROUND,VENUE,23073,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Sportpark Ronhof,CLASSIC_GROUND,VENUE,23064,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,High,NORMAL,,,APPROVED,
Germany,Bremer Brücke,CLASSIC_GROUND,VENUE,23076,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,High,NORMAL,,,APPROVED,
Germany,Millerntor-Stadion,CLASSIC_GROUND,VENUE,23069,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Ruhrstadion,CLASSIC_GROUND,VENUE,23063,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Stadion am Böllenfalltor,CLASSIC_GROUND,VENUE,23067,READY,ACTIVE,Canonical venue resolved (unique contained name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Eintracht-Stadion,CLASSIC_GROUND,VENUE,23072,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,SchücoArena,CLASSIC_GROUND,VENUE,23070,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Holstein-Stadion,CLASSIC_GROUND,VENUE,23071,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
Germany,Rudolf-Harbig-Stadion,CLASSIC_GROUND,VENUE,23068,READY,ACTIVE,Canonical venue resolved (exact name/alias),Classic ground,A traditional German football ground whose character and continuity add to the matchday.,Medium,NORMAL,,,APPROVED,
